MR [2025-05-20 16:13:27] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:26] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:27] ❌ Invalid or empty data for MAXHEALTH, skipping.
MR [2025-05-20 16:17:34] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:17:40] ❌ Failed to fetch historical data: timed out
MR [2025-05-20 16:19:22] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:19:27] MAXHEALTH | Close: 1142.00, RSI: 59.31, BB Lower: 1138.82, BB Upper: 1143.83
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.75, RSI: 52.84, BB Lower: 1173.91, BB Upper: 1182.92
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1178.85, RSI: 46.14, BB Lower: 1173.96, BB Upper: 1182.98
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.80, RSI: 59.21, BB Lower: 1174.09, BB Upper: 1183.34
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.15, RSI: 54.10, BB Lower: 1175.14, BB Upper: 1183.10
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.75, RSI: 50.95, BB Lower: 1176.53, BB Upper: 1182.46
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1178.75, RSI: 43.54, BB Lower: 1176.98, BB Upper: 1182.26
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.15, RSI: 54.37, BB Lower: 1178.29, BB Upper: 1181.54
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.65, RSI: 50.35, BB Lower: 1178.41, BB Upper: 1181.51
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.10, RSI: 53.93, BB Lower: 1178.43, BB Upper: 1181.53
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1181.20, RSI: 61.79, BB Lower: 1178.38, BB Upper: 1181.75
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1182.60, RSI: 69.51, BB Lower: 1178.05, BB Upper: 1182.32
MR [2025-05-20 16:19:45] SELL signal for MAXHEALTH at 1182.60 | RSI: 69.51
MR [2025-05-20 16:19:45] MAXHEALTH | Close: 1185.85, RSI: 80.30, BB Lower: 1176.83, BB Upper: 1184.14
MR [2025-05-20 16:19:45] MAXHEALTH | Close: 1183.55, RSI: 62.15, BB Lower: 1176.85, BB Upper: 1184.72
MR [2025-05-20 16:19:45] MAXHEALTH | Close: 1177.95, RSI: 37.85, BB Lower: 1176.46, BB Upper: 1184.84
MR [2025-05-20 16:19:46] EXIT short MAXHEALTH at 1177.95 | PnL: 0.39%
MR [2025-05-20 16:19:46] MAXHEALTH | Close: 1178.55, RSI: 40.74, BB Lower: 1176.24, BB Upper: 1184.88
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1176.30, RSI: 33.84, BB Lower: 1175.56, BB Upper: 1185.20
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1177.00, RSI: 37.67, BB Lower: 1174.98, BB Upper: 1185.24
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1176.20, RSI: 34.97, BB Lower: 1174.29, BB Upper: 1185.37
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1177.00, RSI: 39.99, BB Lower: 1173.89, BB Upper: 1185.38
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1178.85, RSI: 50.33, BB Lower: 1173.90, BB Upper: 1185.38
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1177.55, RSI: 44.10, BB Lower: 1173.62, BB Upper: 1185.29
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.50, RSI: 30.42, BB Lower: 1172.37, BB Upper: 1185.66
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1174.20, RSI: 34.51, BB Lower: 1171.51, BB Upper: 1185.67
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1174.20, RSI: 34.51, BB Lower: 1170.82, BB Upper: 1185.37
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1171.60, RSI: 26.60, BB Lower: 1169.76, BB Upper: 1184.86
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1169.60, RSI: 22.06, BB Lower: 1169.29, BB Upper: 1183.00
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.60, RSI: 44.26, BB Lower: 1169.96, BB Upper: 1180.91
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1175.40, RSI: 51.51, BB Lower: 1169.98, BB Upper: 1180.53
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1176.25, RSI: 54.76, BB Lower: 1170.12, BB Upper: 1180.06
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1175.45, RSI: 51.01, BB Lower: 1170.10, BB Upper: 1179.96
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1172.35, RSI: 38.96, BB Lower: 1169.72, BB Upper: 1179.68
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.45, RSI: 44.40, BB Lower: 1169.56, BB Upper: 1179.44
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1172.65, RSI: 41.28, BB Lower: 1169.38, BB Upper: 1179.00
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1170.05, RSI: 32.59, BB Lower: 1169.09, BB Upper: 1178.04
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1171.95, RSI: 42.84, BB Lower: 1169.26, BB Upper: 1177.06
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1171.80, RSI: 42.25, BB Lower: 1169.08, BB Upper: 1177.00
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1175.05, RSI: 57.20, BB Lower: 1169.04, BB Upper: 1177.16
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1172.80, RSI: 47.31, BB Lower: 1168.98, BB Upper: 1177.02
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1172.80, RSI: 47.31, BB Lower: 1169.15, BB Upper: 1177.02
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.70, RSI: 51.84, BB Lower: 1169.98, BB Upper: 1176.77
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1174.35, RSI: 55.10, BB Lower: 1170.00, BB Upper: 1176.86
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.60, RSI: 50.50, BB Lower: 1170.06, BB Upper: 1176.55
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1172.50, RSI: 44.20, BB Lower: 1170.25, BB Upper: 1175.82
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1174.50, RSI: 55.88, BB Lower: 1170.40, BB Upper: 1175.54
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1174.70, RSI: 56.93, BB Lower: 1170.44, BB Upper: 1175.83
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1175.35, RSI: 60.51, BB Lower: 1170.33, BB Upper: 1176.22
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1178.65, RSI: 73.52, BB Lower: 1169.62, BB Upper: 1177.78
MR [2025-05-20 16:19:47] SELL signal for MAXHEALTH at 1178.65 | RSI: 73.52
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1177.95, RSI: 67.97, BB Lower: 1170.17, BB Upper: 1178.36
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1177.20, RSI: 62.12, BB Lower: 1170.50, BB Upper: 1178.78
MR [2025-05-20 16:19:47] MAXHEALTH | Close: 1173.00, RSI: 39.76, BB Lower: 1170.79, BB Upper: 1178.66
MR [2025-05-20 16:19:48] EXIT short MAXHEALTH at 1173.00 | PnL: 0.48%
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1171.00, RSI: 33.13, BB Lower: 1170.04, BB Upper: 1178.83
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1170.75, RSI: 32.34, BB Lower: 1169.53, BB Upper: 1179.04
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1170.60, RSI: 31.81, BB Lower: 1169.03, BB Upper: 1179.23
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1171.35, RSI: 37.75, BB Lower: 1168.65, BB Upper: 1179.28
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1170.25, RSI: 32.86, BB Lower: 1168.01, BB Upper: 1179.33
MR [2025-05-20 16:19:48] MAXHEALTH | Close: 1164.30, RSI: 18.07, BB Lower: 1165.45, BB Upper: 1180.57
MR [2025-05-20 16:19:50] Amar's Mean Reversion Strategy Graceful exit requested.
MR [2025-05-20 16:19:50] ℹ️ Trade log file not found. Creating new file with headers.
MR [2025-05-20 16:27:47] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:28:49] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:31:05] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:31:08] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.00 | Close: 1142.00, RSI: 59.31, BB Lower: 1138.82, BB Upper: 1143.83 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:08] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.90 | Close: 1141.90, RSI: 57.98, BB Lower: 1138.82, BB Upper: 1143.83 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:08] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1144.50 | Close: 1144.50, RSI: 74.93, BB Lower: 1138.72, BB Upper: 1143.98 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:09] SELL signal for MAXHEALTH at 1144.50 | RSI: 74.93
MR [2025-05-20 16:31:09] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1143.65 | Close: 1143.65, RSI: 64.94, BB Lower: 1138.60, BB Upper: 1144.41 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:09] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1143.85 | Close: 1143.85, RSI: 66.18, BB Lower: 1138.51, BB Upper: 1144.84 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:09] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.90 | Close: 1141.90, RSI: 47.22, BB Lower: 1139.17, BB Upper: 1144.60 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:09] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.25 | Close: 1139.25, RSI: 32.47, BB Lower: 1138.99, BB Upper: 1144.71 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] EXIT short MAXHEALTH at 1139.25 | PnL: 0.46%
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.65 | Close: 1139.65, RSI: 35.99, BB Lower: 1138.89, BB Upper: 1144.76 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.45 | Close: 1140.45, RSI: 42.93, BB Lower: 1138.74, BB Upper: 1144.78 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.35 | Close: 1140.35, RSI: 42.26, BB Lower: 1138.54, BB Upper: 1144.76 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.95 | Close: 1140.95, RSI: 47.94, BB Lower: 1138.45, BB Upper: 1144.66 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.75 | Close: 1140.75, RSI: 46.17, BB Lower: 1138.42, BB Upper: 1144.66 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.80 | Close: 1140.80, RSI: 46.74, BB Lower: 1138.37, BB Upper: 1144.65 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.25 | Close: 1139.25, RSI: 33.77, BB Lower: 1138.01, BB Upper: 1144.74 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.55 | Close: 1140.55, RSI: 47.92, BB Lower: 1137.90, BB Upper: 1144.64 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.90 | Close: 1142.90, RSI: 64.09, BB Lower: 1137.87, BB Upper: 1144.81 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1143.35 | Close: 1143.35, RSI: 66.42, BB Lower: 1138.07, BB Upper: 1144.45 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1143.00 | Close: 1143.00, RSI: 62.73, BB Lower: 1138.16, BB Upper: 1144.27 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.25 | Close: 1139.25, RSI: 37.01, BB Lower: 1138.07, BB Upper: 1143.70 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.45 | Close: 1139.45, RSI: 38.58, BB Lower: 1137.86, BB Upper: 1143.56 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.70 | Close: 1139.70, RSI: 40.73, BB Lower: 1137.95, BB Upper: 1143.53 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1138.60 | Close: 1138.60, RSI: 34.52, BB Lower: 1137.70, BB Upper: 1143.63 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.00 | Close: 1139.00, RSI: 38.50, BB Lower: 1137.47, BB Upper: 1143.66 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.35 | Close: 1140.35, RSI: 50.36, BB Lower: 1137.47, BB Upper: 1143.66 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.55 | Close: 1140.55, RSI: 51.96, BB Lower: 1137.45, BB Upper: 1143.63 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.70 | Close: 1140.70, RSI: 53.28, BB Lower: 1137.44, BB Upper: 1143.62 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.25 | Close: 1142.25, RSI: 64.90, BB Lower: 1137.41, BB Upper: 1143.86 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.95 | Close: 1141.95, RSI: 61.45, BB Lower: 1137.64, BB Upper: 1144.02 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.30 | Close: 1141.30, RSI: 54.17, BB Lower: 1137.69, BB Upper: 1144.07 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.70 | Close: 1140.70, RSI: 48.04, BB Lower: 1137.75, BB Upper: 1143.70 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.65 | Close: 1140.65, RSI: 47.52, BB Lower: 1137.97, BB Upper: 1143.09 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.55 | Close: 1140.55, RSI: 46.34, BB Lower: 1138.22, BB Upper: 1142.49 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.75 | Close: 1141.75, RSI: 60.15, BB Lower: 1138.38, BB Upper: 1142.69 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.25 | Close: 1140.25, RSI: 43.73, BB Lower: 1138.52, BB Upper: 1142.66 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.65 | Close: 1139.65, RSI: 38.79, BB Lower: 1138.51, BB Upper: 1142.67 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.30 | Close: 1140.30, RSI: 46.44, BB Lower: 1138.96, BB Upper: 1142.46 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.00 | Close: 1140.00, RSI: 43.51, BB Lower: 1139.27, BB Upper: 1142.30 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.15 | Close: 1140.15, RSI: 45.52, BB Lower: 1139.23, BB Upper: 1142.30 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.05 | Close: 1140.05, RSI: 44.30, BB Lower: 1139.15, BB Upper: 1142.31 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.95 | Close: 1139.95, RSI: 42.95, BB Lower: 1139.04, BB Upper: 1142.31 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.25 | Close: 1140.25, RSI: 48.43, BB Lower: 1139.16, BB Upper: 1141.91 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.45 | Close: 1140.45, RSI: 52.02, BB Lower: 1139.32, BB Upper: 1141.53 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.65 | Close: 1139.65, RSI: 39.27, BB Lower: 1139.26, BB Upper: 1141.37 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.20 | Close: 1139.20, RSI: 33.83, BB Lower: 1139.02, BB Upper: 1141.39 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.45 | Close: 1140.45, RSI: 54.33, BB Lower: 1139.03, BB Upper: 1141.35 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.00 | Close: 1140.00, RSI: 48.08, BB Lower: 1139.00, BB Upper: 1141.30 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.00 | Close: 1140.00, RSI: 48.08, BB Lower: 1139.34, BB Upper: 1140.71 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.90 | Close: 1139.90, RSI: 46.46, BB Lower: 1139.33, BB Upper: 1140.67 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.95 | Close: 1139.95, RSI: 47.49, BB Lower: 1139.38, BB Upper: 1140.67 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.30 | Close: 1139.30, RSI: 36.76, BB Lower: 1139.22, BB Upper: 1140.68 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.60 | Close: 1140.60, RSI: 58.59, BB Lower: 1139.19, BB Upper: 1140.80 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.50 | Close: 1140.50, RSI: 56.83, BB Lower: 1139.17, BB Upper: 1140.87 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.75 | Close: 1139.75, RSI: 45.00, BB Lower: 1139.14, BB Upper: 1140.86 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.15 | Close: 1139.15, RSI: 37.68, BB Lower: 1138.97, BB Upper: 1140.91 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.75 | Close: 1139.75, RSI: 47.62, BB Lower: 1138.94, BB Upper: 1140.86 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.65 | Close: 1139.65, RSI: 46.19, BB Lower: 1138.93, BB Upper: 1140.76 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.80 | Close: 1139.80, RSI: 48.88, BB Lower: 1138.95, BB Upper: 1140.77 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.90 | Close: 1139.90, RSI: 50.79, BB Lower: 1139.08, BB Upper: 1140.73 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.35 | Close: 1140.35, RSI: 58.88, BB Lower: 1139.09, BB Upper: 1140.71 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.05 | Close: 1140.05, RSI: 52.21, BB Lower: 1139.09, BB Upper: 1140.71 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.00 | Close: 1140.00, RSI: 51.08, BB Lower: 1139.09, BB Upper: 1140.71 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.30 | Close: 1140.30, RSI: 57.50, BB Lower: 1139.10, BB Upper: 1140.77 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1139.15 | Close: 1139.15, RSI: 36.24, BB Lower: 1138.94, BB Upper: 1140.81 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:10] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1141.50 | Close: 1141.50, RSI: 66.11, BB Lower: 1138.82, BB Upper: 1141.25 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] SELL signal for MAXHEALTH at 1141.50 | RSI: 66.11
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.50 | Close: 1142.50, RSI: 72.50, BB Lower: 1138.39, BB Upper: 1141.95 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.30 | Close: 1142.30, RSI: 69.45, BB Lower: 1138.18, BB Upper: 1142.41 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.30 | Close: 1142.30, RSI: 69.45, BB Lower: 1138.14, BB Upper: 1142.82 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.50 | Close: 1142.50, RSI: 71.10, BB Lower: 1138.28, BB Upper: 1143.15 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1143.00 | Close: 1143.00, RSI: 75.05, BB Lower: 1138.30, BB Upper: 1143.60 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1145.40 | Close: 1145.40, RSI: 85.87, BB Lower: 1137.92, BB Upper: 1144.81 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1145.10 | Close: 1145.10, RSI: 80.76, BB Lower: 1137.89, BB Upper: 1145.59 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1142.50 | Close: 1142.50, RSI: 50.44, BB Lower: 1138.21, BB Upper: 1145.64 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:11] MAXHEALTH | <module 'signal' from 'C:\\Python310\\lib\\signal.py'> @ 1140.55 | Close: 1140.55, RSI: 37.96, BB Lower: 1138.25, BB Upper: 1145.63 | SL: 0.00 | Target: 0.00
MR [2025-05-20 16:31:14] Amar's Mean Reversion Strategy Graceful exit requested.
MR [2025-05-20 16:31:14] ℹ️ No trades found for today. Summary not generated.
MR [2025-05-20 16:32:53] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:38:52] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:38:54] MAXHEALTH | SELL @ 1144.50 | Close: 1144.50, RSI: 74.93, BB Lower: 1138.72, BB Upper: 1143.98 | SL: 1155.94 | Target: 1121.61
MR [2025-05-20 16:38:55] SELL trade_signal for MAXHEALTH at 1144.50 | RSI: 74.93
MR [2025-05-20 16:38:56] EXIT short MAXHEALTH at 1139.25 | PnL: 0.46%
MR [2025-05-20 16:38:57] SELL trade_signal for MAXHEALTH at 1141.50 | RSI: 66.11
